brand,name,description,category,featured,status,artwork,denominations,totalSold,createdAt
PlayStation,PlayStation Store Card,Games add-ons and subscriptions for PlayStation consoles.,gaming,true,active,playstation-blue,"10:20:PSNS10XXX001-PSNS10XXX020|25:25:PSNS25XXX001-PSNS25XXX025|50:20:PSNS50XXX001-PSNS50XXX020|100:15:PSNS100XX001-PSNS100XX015",389,2024-01-25T13:30:00Z
Xbox,Xbox Gift Card,Games movies and apps for Xbox and Windows.,gaming,true,active,xbox-green,"10:18:XBOX10XXX001-XBOX10XXX018|25:22:XBOX25XXX001-XBOX25XXX022|50:18:XBOX50XXX001-XBOX50XXX018|100:12:XBOX100XX001-XBOX100XX012",356,2024-01-26T11:00:00Z
Nike,Nike Gift Card,Just Do It with the latest athletic gear and apparel.,fashion,false,active,nike-swoosh,"25:15:NIKE25XXX001-NIKE25XXX015|50:20:NIKE50XXX001-NIKE50XXX020|100:15:NIKE100XX001-NIKE100XX015|200:8:NIKE200XX001-NIKE200XX008",123,2024-01-27T09:45:00Z
Adidas,Adidas Gift Card,Three stripes for sports and lifestyle products.,fashion,false,active,adidas-stripes,"25:12:ADID25XXX001-ADID25XXX012|50:18:ADID50XXX001-ADID50XXX018|100:12:ADID100XX001-ADID100XX012|200:6:ADID200XX001-ADID200XX006",98,2024-01-28T14:15:00Z
Best Buy,Best Buy Gift Card,Tech gadgets appliances and electronics galore.,technology,false,active,bestbuy-tag,"25:15:BEST25XXX001-BEST25XXX015|50:20:BEST50XXX001-BEST50XXX020|100:15:BEST100XX001-BEST100XX015|250:8:BEST250XX001-BEST250XX008",167,2024-01-29T16:30:00Z
Home Depot,Home Depot Gift Card,Everything for home improvement and DIY projects.,home,false,active,homedepot-orange,"25:10:HDEP25XXX001-HDEP25XXX010|50:15:HDEP50XXX001-HDEP50XXX015|100:12:HDEP100XX001-HDEP100XX012|200:6:HDEP200XX001-HDEP200XX006",89,2024-01-30T07:45:00Z
Sephora,Sephora Gift Card,Beauty products makeup and skincare from top brands.,beauty,true,active,sephora-stripes,"25:18:SEPH25XXX001-SEPH25XXX018|50:20:SEPH50XXX001-SEPH50XXX020|100:15:SEPH100XX001-SEPH100XX015|250:5:SEPH250XX001-SEPH250XX005",234,2024-01-31T12:20:00Z
Ulta Beauty,Ulta Gift Card,All things beauty in one place.,beauty,false,active,ulta-coral,"25:15:ULTA25XXX001-ULTA25XXX015|50:18:ULTA50XXX001-ULTA50XXX018|100:12:ULTA100XX001-ULTA100XX012",145,2024-02-01T10:00:00Z
Whole Foods,Whole Foods Gift Card,Organic and natural foods for healthy living.,food,false,active,wholefoods-green,"25:12:WFDS25XXX001-WFDS25XXX012|50:15:WFDS50XXX001-WFDS50XXX015|100:10:WFDS100XX001-WFDS100XX010|200:5:WFDS200XX001-WFDS200XX005",112,2024-02-02T08:15:00Z
Chipotle,Chipotle Gift Card,Fresh Mexican food made with responsibly sourced ingredients.,food,false,active,chipotle-pepper,"10:20:CHIP10XXX001-CHIP10XXX020|25:25:CHIP25XXX001-CHIP25XXX025|50:15:CHIP50XXX001-CHIP50XXX015",189,2024-02-03T13:45:00Z
Panera Bread,Panera Gift Card,Fresh baked goods soups and sandwiches.,food,false,active,panera-green,"10:15:PANR10XXX001-PANR10XXX015|25:20:PANR25XXX001-PANR25XXX020|50:12:PANR50XXX001-PANR50XXX012",134,2024-02-04T11:30:00Z
Disney+,Disney Plus Gift Card,Stream Disney Pixar Marvel Star Wars and National Geographic.,entertainment,true,active,disney-plus,"8:20:DISP08XXX001-DISP08XXX020|14:25:DISP14XXX001-DISP14XXX025|30:15:DISP30XXX001-DISP30XXX015|100:10:DISP100XX001-DISP100XX010",267,2024-02-05T15:00:00Z
Hulu,Hulu Gift Card,Stream your favorite TV shows and movies.,entertainment,false,active,hulu-gradient,"8:15:HULU08XXX001-HULU08XXX015|15:20:HULU15XXX001-HULU15XXX020|30:15:HULU30XXX001-HULU30XXX015|60:10:HULU60XXX001-HULU60XXX010",123,2024-02-06T17:20:00Z
HBO Max,HBO Max Gift Card,Premium entertainment streaming service.,entertainment,false,active,hbo-purple,"10:12:HBOM10XXX001-HBOM10XXX012|15:18:HBOM15XXX001-HBOM15XXX018|30:12:HBOM30XXX001-HBOM30XXX012|100:8:HBOM100XX001-HBOM100XX008",98,2024-02-07T09:00:00Z
Airbnb,Airbnb Gift Card,Book unique stays and experiences around the world.,travel,true,active,airbnb-coral,"25:10:AIRB25XXX001-AIRB25XXX010|50:15:AIRB50XXX001-AIRB50XXX015|100:12:AIRB100XX001-AIRB100XX012|200:8:AIRB200XX001-AIRB200XX008|500:4:AIRB500XX001-AIRB500XX004",156,2024-02-08T10:30:00Z
Hotels.com,Hotels.com Gift Card,Book hotels worldwide with great deals.,travel,false,active,hotels-red,"50:8:HOTL50XXX001-HOTL50XXX008|100:12:HOTL100XX001-HOTL100XX012|250:8:HOTL250XX001-HOTL250XX008|500:5:HOTL500XX001-HOTL500XX005",67,2024-02-09T14:45:00Z
Southwest Airlines,Southwest Gift Card,Fly with low fares and no hidden fees.,travel,false,active,southwest-heart,"50:6:SWAI50XXX001-SWAI50XXX006|100:10:SWAI100XX001-SWAI100XX010|200:8:SWAI200XX001-SWAI200XX008|500:4:SWAI500XX001-SWAI500XX004",45,2024-02-10T16:00:00Z
Delta Airlines,Delta Gift Card,Fly with one of the world's largest airlines.,travel,false,active,delta-widget,"50:5:DELT50XXX001-DELT50XXX005|100:8:DELT100XX001-DELT100XX008|250:6:DELT250XX001-DELT250XX006|500:3:DELT500XX001-DELT500XX003",34,2024-02-11T08:30:00Z
Lyft,Lyft Gift Card,Rideshare service for getting around town.,transportation,false,active,lyft-pink,"10:12:LYFT10XXX001-LYFT10XXX012|25:15:LYFT25XXX001-LYFT25XXX015|50:10:LYFT50XXX001-LYFT50XXX010",89,2024-02-12T11:15:00Z
Grubhub,Grubhub Gift Card,Food delivery from local restaurants.,food,false,active,grubhub-orange,"15:15:GRUB15XXX001-GRUB15XXX015|25:18:GRUB25XXX001-GRUB25XXX018|50:12:GRUB50XXX001-GRUB50XXX012",112,2024-02-13T13:00:00Z
Instacart,Instacart Gift Card,Grocery delivery from your favorite stores.,shopping,false,active,instacart-carrot,"25:10:INST25XXX001-INST25XXX010|50:12:INST50XXX001-INST50XXX012|100:8:INST100XX001-INST100XX008",78,2024-02-14T15:30:00Z
CVS Pharmacy,CVS Gift Card,Health and wellness products plus pharmacy services.,health,false,active,cvs-heart,"10:15:CVSP10XXX001-CVSP10XXX015|25:18:CVSP25XXX001-CVSP25XXX018|50:12:CVSP50XXX001-CVSP50XXX012",134,2024-02-15T07:45:00Z
Walgreens,Walgreens Gift Card,Your neighborhood pharmacy and convenience store.,health,false,active,walgreens-w,"10:12:WALG10XXX001-WALG10XXX012|25:15:WALG25XXX001-WALG25XXX015|50:10:WALG50XXX001-WALG50XXX010",98,2024-02-16T09:20:00Z
GameStop,GameStop Gift Card,Video games consoles and gaming accessories.,gaming,false,active,gamestop-power,"10:15:GAME10XXX001-GAME10XXX015|25:20:GAME25XXX001-GAME25XXX020|50:15:GAME50XXX001-GAME50XXX015|100:8:GAME100XX001-GAME100XX008",178,2024-02-17T12:00:00Z
Roblox,Roblox Gift Card,Robux and premium membership for Roblox games.,gaming,true,active,roblox-tilted,"10:25:RBLX10XXX001-RBLX10XXX025|25:20:RBLX25XXX001-RBLX25XXX020|50:15:RBLX50XXX001-RBLX50XXX015",289,2024-02-18T14:30:00Z
Fortnite V-Bucks,Fortnite V-Bucks Card,In-game currency for Fortnite Battle Royale.,gaming,true,active,fortnite-llama,"10:20:FORT10XXX001-FORT10XXX020|25:25:FORT25XXX001-FORT25XXX025|50:18:FORT50XXX001-FORT50XXX018|100:10:FORT100XX001-FORT100XX010",345,2024-02-19T16:45:00Z
Minecraft,Minecraft Gift Card,Minecoins for Minecraft Marketplace content.,gaming,false,active,minecraft-creeper,"10:18:MINE10XXX001-MINE10XXX018|26:15:MINE26XXX001-MINE26XXX015|50:12:MINE50XXX001-MINE50XXX012",167,2024-02-20T10:15:00Z
Google Play,Google Play Gift Card,Apps games movies and more on Android devices.,technology,true,active,google-play,"10:20:GOOG10XXX001-GOOG10XXX020|25:25:GOOG25XXX001-GOOG25XXX025|50:20:GOOG50XXX001-GOOG50XXX020|100:12:GOOG100XX001-GOOG100XX012",298,2024-02-21T08:00:00Z
Visa,Visa Gift Card,Use anywhere Visa debit cards are accepted.,payment,true,active,visa-blue,"25:8:VISA25XXX001-VISA25XXX008|50:12:VISA50XXX001-VISA50XXX012|100:10:VISA100XX001-VISA100XX010|200:6:VISA200XX001-VISA200XX006|500:4:VISA500XX001-VISA500XX004",234,2024-02-22T11:30:00Z
Mastercard,Mastercard Gift Card,Accepted at millions of locations worldwide.,payment,false,active,mastercard-circles,"25:6:MAST25XXX001-MAST25XXX006|50:10:MAST50XXX001-MAST50XXX010|100:8:MAST100XX001-MAST100XX008|200:5:MAST200XX001-MAST200XX005",145,2024-02-23T13:45:00Z
American Express,Amex Gift Card,Premium gift card accepted at many merchants.,payment,false,active,amex-centurion,"50:5:AMEX50XXX001-AMEX50XXX005|100:8:AMEX100XX001-AMEX100XX008|250:6:AMEX250XX001-AMEX250XX006|500:3:AMEX500XX001-AMEX500XX003",67,2024-02-24T15:20:00Z
eBay,eBay Gift Card,Shop millions of items from sellers worldwide.,shopping,false,active,ebay-letters,"10:12:EBAY10XXX001-EBAY10XXX012|25:15:EBAY25XXX001-EBAY25XXX015|50:12:EBAY50XXX001-EBAY50XXX012|100:8:EBAY100XX001-EBAY100XX008",123,2024-02-25T17:00:00Z
Etsy,Etsy Gift Card,Unique handmade and vintage items from creative entrepreneurs.,shopping,false,active,etsy-script,"10:10:ETSY10XXX001-ETSY10XXX010|25:12:ETSY25XXX001-ETSY25XXX012|50:10:ETSY50XXX001-ETSY50XXX010|100:6:ETSY100XX001-ETSY100XX006",89,2024-02-26T09:30:00Z
Bass Pro Shops,Bass Pro Gift Card,Outdoor gear for hunting fishing and camping.,outdoor,false,active,basspro-fish,"25:8:BASS25XXX001-BASS25XXX008|50:10:BASS50XXX001-BASS50XXX010|100:8:BASS100XX001-BASS100XX008",56,2024-02-27T07:15:00Z
REI,REI Gift Card,Quality outdoor gear and expert advice for adventures.,outdoor,false,active,rei-mountain,"25:6:REIC25XXX001-REIC25XXX006|50:8:REIC50XXX001-REIC50XXX008|100:6:REIC100XX001-REIC100XX006|250:4:REIC250XX001-REIC250XX004",45,2024-02-28T10:45:00Z
Dick's Sporting,Dick's Gift Card,Sports equipment and athletic apparel.,sports,false,active,dicks-sport,"25:10:DICK25XXX001-DICK25XXX010|50:12:DICK50XXX001-DICK50XXX012|100:8:DICK100XX001-DICK100XX008",78,2024-02-29T12:30:00Z
Foot Locker,Foot Locker Gift Card,Latest sneakers and athletic footwear.,fashion,false,active,footlocker-stripes,"25:12:FOOT25XXX001-FOOT25XXX012|50:15:FOOT50XXX001-FOOT50XXX015|100:10:FOOT100XX001-FOOT100XX010",112,2024-03-01T14:00:00Z
Nordstrom,Nordstrom Gift Card,High-end fashion and designer brands.,fashion,false,active,nordstrom-n,"50:8:NORD50XXX001-NORD50XXX008|100:10:NORD100XX001-NORD100XX010|250:6:NORD250XX001-NORD250XX006|500:3:NORD500XX001-NORD500XX003",67,2024-03-02T16:15:00Z
Macy's,Macy's Gift Card,Fashion home goods and beauty products.,shopping,false,active,macys-star,"25:10:MACY25XXX001-MACY25XXX010|50:12:MACY50XXX001-MACY50XXX012|100:8:MACY100XX001-MACY100XX008|200:5:MACY200XX001-MACY200XX005",89,2024-03-03T08:45:00Z
